Fastq Name,Library Prep Method,Study Set,Alignment Method,Amplification ID,Amplification,Batch Name,Batch Name From Vendor,Cell Capture,Cell Prep Type,Library Prep Method ID,Library Prep Name,Load Name,Organism Common Name,Organism Name,Sample ID,Sequencing Vendor
10X120-3,10Xv2,Brain_survey_10xV2,CELL_RANGER_SC3PV2,883940189,AKTX_180801_01_A01,RKTX-180806,10X120,1743,Nuclei,1023060312,LKTX_180804_01_A01,10X120_3,human,Homo Sapiens,883931117,Karolinkska
10X120-4,10Xv2,Brain_survey_10xV2,CELL_RANGER_SC3PV2,883940199,AKTX_180801_01_B01,RKTX-180806,10X120,7078,Nuclei,1023060312,LKTX_180804_01_B01,10X120_4,human,Homo Sapiens,883931144,Karolinkska
10X134-1,10Xv2,Brain_survey+Hu_Ref_Brain,CELL_RANGER_SC3PV2,898689746,AKTX_181015_01_A01,RKTX-181018,10X134,7664,Nuclei,1023060312,LKTX_181017_01_A01,10X134_1,human,Homo Sapiens,898685242,Karolinkska
10X134-2,10Xv2,Brain_survey+Hu_Ref_Brain,CELL_RANGER_SC3PV2,898689750,AKTX_181015_01_B01,RKTX-181018,10X134,7005,Nuclei,1023060312,LKTX_181017_01_B01,10X134_2,human,Homo Sapiens,898685266,Karolinkska
10X134-5,10Xv2,Brain_survey+Hu_Ref_Brain,CELL_RANGER_SC3PV2,898689754,AKTX_181015_01_E01,RKTX-181018,10X134,7467,Nuclei,1023060312,LKTX_181017_01_E01,10X134_5,human,Homo Sapiens,898686671,Karolinkska
10X134-6,10Xv2,Brain_survey+Hu_Ref_Brain,CELL_RANGER_SC3PV2,898689758,AKTX_181015_01_F01,RKTX-181018,10X134,7908,Nuclei,1023060312,LKTX_181017_01_F01,10X134_6,human,Homo Sapiens,898686696,Karolinkska
10X135-1,10Xv2,Brain_survey+Hu_Ref_Brain,CELL_RANGER_SC3PV2,898697373,AKTX_181015_02_A01,RKTX-181019,10X135,8989,Nuclei,1023060312,LKTX_181017_02_A01,10X135_1,human,Homo Sapiens,898695644,Karolinkska
10X135-2,10Xv2,Brain_survey+Hu_Ref_Brain,CELL_RANGER_SC3PV2,898697377,AKTX_181015_02_B01,RKTX-181019,10X135,8364,Nuclei,1023060312,LKTX_181017_02_B01,10X135_2,human,Homo Sapiens,898695668,Karolinkska
10X135-3,10Xv2,Brain_survey+Hu_Ref_Brain,CELL_RANGER_SC3PV2,898697381,AKTX_181015_02_C01,RKTX-181019,10X135,7717,Nuclei,1023060312,LKTX_181017_02_C01,10X135_3,human,Homo Sapiens,898696720,Karolinkska
10X135-4,10Xv2,Brain_survey+Hu_Ref_Brain,CELL_RANGER_SC3PV2,898697385,AKTX_181015_02_D01,RKTX-181019,10X135,8476,Nuclei,1023060312,LKTX_181017_02_D01,10X135_4,human,Homo Sapiens,898696744,Karolinkska
10X146-1,10Xv3,Brain_survey+Hu_Ref_Brain,CELL_RANGER,898861826,AKTX_181210_01_A01,RKTX-181213,10X146,18968,Nuclei,1023060325,LKTX_181212_01_A01,10X146_1,human,Homo Sapiens,898701967,Karolinkska
10X146-2,10Xv3,Brain_survey+Hu_Ref_Brain,CELL_RANGER,898861830,AKTX_181210_01_B01,RKTX-181213,10X146,8086,Nuclei,1023060325,LKTX_181212_01_B01,10X146_2,human,Homo Sapiens,898702601,Karolinkska
10X146-3,10Xv3,Brain_survey+Hu_Ref_Brain,CELL_RANGER,898861834,AKTX_181210_01_C01,RKTX-181213,10X146,8033,Nuclei,1023060325,LKTX_181212_01_C01,10X146_3,human,Homo Sapiens,898702627,Karolinkska
10X146-4,10Xv3,Brain_survey+Hu_Ref_Brain,CELL_RANGER,898861838,AKTX_181210_01_D01,RKTX-181213,10X146,7104,Nuclei,1023060325,LKTX_181212_01_D01,10X146_4,human,Homo Sapiens,898703590,Karolinkska
