Fastq Name,Library Prep Method,Study Set,Alignment Method,Amplification ID,Amplification,Batch Name,Batch Name From Vendor,Cell Capture,Cell Prep Type,Library Prep Method ID,Library Prep Name,Load Name,Organism Common Name,Organism Name,Sample ID,Sequencing Vendor
NW-AT0675-1,10xATAC_Mult,AD_Center_Grant,ARC-ATAC,1306838070,B8XM_231024_01_B01,R8XA-23110705,ATX-675,10000,Nuclei,1061736689,L8XA_231024_01_C03,1928_B10,human,Homo Sapiens,1305739908,NWGC
NW-AT0675-2,10xATAC_Mult,AD_Center_Grant,ARC-ATAC,1306838072,B8XM_231024_01_C01,R8XA-23110705,ATX-675,10000,Nuclei,1061736689,L8XA_231024_01_D03,1928_C10,human,Homo Sapiens,1305739969,NWGC
NW-AT0675-3,10xATAC_Mult,SCORCH,ARC-ATAC,1308442201,B8XM_231031_01_F01,R8XA-23110705,ATX-675,10000,Nuclei,1061736689,L8XA_231031_01_D05,1933_F02,mouse,Mus musculus,1306576979,NWGC
NW-AT0675-4,10xATAC_Mult,SCORCH,ARC-ATAC,1308442211,B8XM_231031_01_B02,R8XA-23110705,ATX-675,10000,Nuclei,1061736689,L8XA_231031_01_E05,1934_A03,mouse,Mus musculus,1306543432,NWGC
NW-AT0675-5,10xATAC_Mult,SCORCH,ARC-ATAC,1308442213,B8XM_231031_01_C02,R8XA-23110705,ATX-675,10000,Nuclei,1061736689,L8XA_231031_01_F05,1934_B03,mouse,Mus musculus,1306543433,NWGC
NW-AT0675-6,10xATAC_Mult,SCORCH,ARC-ATAC,1308442215,B8XM_231031_01_D02,R8XA-23110705,ATX-675,9658,Nuclei,1061736689,L8XA_231031_01_G05,1934_C03,mouse,Mus musculus,1307727295,NWGC
NW-AT0675-7,10xATAC_Mult,SCORCH,ARC-ATAC,1308442217,B8XM_231031_01_E02,R8XA-23110705,ATX-675,10000,Nuclei,1061736689,L8XA_231031_01_H05,1934_D03,mouse,Mus musculus,1307727297,NWGC
NW-AT0675-8,10xATAC_Mult,SCORCH,ARC-ATAC,1308442219,B8XM_231031_01_F02,R8XA-23110705,ATX-675,10000,Nuclei,1061736689,L8XA_231031_01_A06,1934_E03,mouse,Mus musculus,1306537286,NWGC
NW-AT0675-9,10xATAC_Mult,SCORCH,ARC-ATAC,1308442222,B8XM_231031_01_G02,R8XA-23110705,ATX-675,10000,Nuclei,1061736689,L8XA_231031_01_C04,1934_F03,mouse,Mus musculus,1306537287,NWGC
NW-AT0678-1,10xATAC_Mult,HEAD_Network,ARC-ATAC,1309857178,B8XM_231107_02_C02,R8XA-23112102,ATX-678,10000,Nuclei,1061736689,L8XA_231107_02_G09,1950_C01,mouse,Mus musculus,1308995692,NWGC
NW-AT0678-2,10xATAC_Mult,HEAD_Network,ARC-ATAC,1309857180,B8XM_231107_02_D02,R8XA-23112102,ATX-678,10000,Nuclei,1061736689,L8XA_231107_02_H09,1950_D01,mouse,Mus musculus,1308965576,NWGC
NW-AT0678-3,10xATAC_Mult,SCORCH,ARC-ATAC,1309857182,B8XM_231107_02_E02,R8XA-23112102,ATX-678,10000,Nuclei,1061736689,L8XA_231107_02_A10,1950_E01,mouse,Mus musculus,1308965577,NWGC
