Fastq Name,Library Prep Method,Study Set,Alignment Method,Amplification ID,Amplification,Batch Name,Batch Name From Vendor,Cell Capture,Cell Prep Type,Library Prep Method ID,Library Prep Name,Load Name,Organism Common Name,Organism Name,Sample ID,Sequencing Vendor
NY-AT16024-1,10xATAC_Mult,HMBA_Human_Atlas+HMBA_Human_Atlas_H,ARC-ATAC,1316208154,B8XM_231205_01_H01,R8XA-23121906,ATX-16024,10000,Nuclei,1061736689,L8XA_231205_01_H01,1980_B08,human,Homo Sapiens,1315957165,NYGC
NY-AT16024-2,10xATAC_Mult,HMBA_Human_Atlas+HMBA_Human_Atlas_H,ARC-ATAC,1316208165,B8XM_231205_01_A02,R8XA-23121906,ATX-16024,10000,Nuclei,1061736689,L8XA_231205_01_A02,1980_C08,human,Homo Sapiens,1315957164,NYGC
NY-AT16024-3,10xATAC_Mult,HMBA_Human_Atlas+HMBA_Human_Atlas_H,ARC-ATAC,1316208080,B8XM_231205_01_B01,R8XA-23121906,ATX-16024,10000,Nuclei,1061736689,L8XA_231205_01_B01,1984_A02,human,Homo Sapiens,1315747032,NYGC
NY-AT16024-4,10xATAC_Mult,HMBA_Human_Atlas+HMBA_Human_Atlas_H,ARC-ATAC,1316208091,B8XM_231205_01_C01,R8XA-23121906,ATX-16024,10000,Nuclei,1061736689,L8XA_231205_01_C01,1984_B02,human,Homo Sapiens,1315747030,NYGC
NY-AT16024-5,10xATAC_Mult,HMBA_Human_Atlas+HMBA_Human_Atlas_H,ARC-ATAC,1316208067,B8XM_231205_01_A01,R8XA-23121906,ATX-16024,4565,Nuclei,1061736689,L8XA_231205_01_A01,1984_E02,human,Homo Sapiens,1315958923,NYGC
NY-AT16024-6,10xATAC_Mult,HMBA_Human_Atlas+HMBA_Human_Atlas_H,ARC-ATAC,1316208103,B8XM_231205_01_D01,R8XA-23121906,ATX-16024,10000,Nuclei,1061736689,L8XA_231205_01_D01,1984_F02,human,Homo Sapiens,1315958922,NYGC
NY-AT16024-7,10xATAC_Mult,HMBA_Human_Atlas+HMBA_Human_Atlas_H,ARC-ATAC,1316208116,B8XM_231205_01_E01,R8XA-23121906,ATX-16024,10000,Nuclei,1061736689,L8XA_231205_01_E01,1984.1_G02,human,Homo Sapiens,1315747024,NYGC
NY-AT16024-8,10xATAC_Mult,HMBA_Human_Atlas+HMBA_Human_Atlas_H,ARC-ATAC,1316208133,B8XM_231205_01_F01,R8XA-23121906,ATX-16024,10000,Nuclei,1061736689,L8XA_231205_01_F01,1984.1_H02,human,Homo Sapiens,1315958920,NYGC
NY-AT16024-9,10xATAC_Mult,HMBA_Human_Atlas+HMBA_Human_Atlas_H,ARC-ATAC,1317694424,B8XM_231212_01_A01,R8XA-23121906,ATX-16024,10000,Nuclei,1061736689,L8XA_231212_01_F04,1986_A04,human,Homo Sapiens,1316195813,NYGC
NY-MX12001-1,10xRSeq_Mult,BICAN_Dev_Atlas+P0_Pilot,ARC-RSEQ,1269962379,A8XR_230509_01_G01,R8XR-23062102,MTX-12001,10000,Nuclei,1061736705,L8XR_230511_22_E11,1709_A01,mouse,Mus musculus,1269077350,NYGC
